Move Number,Eval,Centipawn Loss,Time Left,Time Spent
15b,-0.15,0.4,134,3
16w,-0.42,0.27,117,2
16b,-0.06,0.36,129,5
17w,-0.07,0.010000000000000009,116,1
17b,0.66,0.73,119,10
18w,0.1,0.56,110,6
18b,0.32,0.22,115,4
19w,0.0,0.32,106,4
19b,0.47,0.47,106,9
20w,0.42,0.04999999999999999,106,0
20b,0.97,0.55,93,13
21w,0.76,0.20999999999999996,95,11
21b,1.02,0.26,88,5
22w,0.97,0.050000000000000044,91,4
22b,5.34,4.37,85,3
23w,0.15,5.1899999999999995,87,4
23b,0.3,0.15,83,2
24w,-0.31,0.61,85,2
24b,0.67,0.98,80,3
25w,0.34,0.33,83,2
25b,0.48,0.13999999999999996,78,2
26w,0.53,0,80,3
26b,0.77,0.24,70,8
27w,0.67,0.09999999999999998,69,11
27b,0.8,0.13,66,4
28w,0.8,0,69,0
28b,3.6,2.8,62,4
29w,1.25,2.35,67,2
29b,2.36,1.1099999999999999,57,5
30w,1.92,0.43999999999999995,66,1
30b,2.17,0.25,50,7
31w,1.91,0.26,65,1
31b,2.95,1.0400000000000003,49,1
32w,2.44,0.5100000000000002,63,2
32b,2.74,0.30000000000000027,46,3
33w,2.37,0.3700000000000001,61,2
33b,2.2,0,38,8
34w,2.28,0,35,26
34b,2.97,0.6900000000000004,33,5
35w,2.38,0.5900000000000003,34,1
35b,4.93,2.55,31,2
36w,3.6,1.3299999999999996,30,4
36b,6.52,2.9199999999999995,25,6
37w,6.02,0.5,24,6
37b,11.67,5.65,21,4
38w,10.78,0.8900000000000006,22,2
38b,9.95,0,20,1
39w,2.52,7.43,21,1
39b,3.74,1.2200000000000002,19,1
40w,2.38,1.3600000000000003,17,4
40b,2.39,0.010000000000000231,13,6
41w,2.34,0.050000000000000266,14,3
41b,6.37,4.03,12,1
42w,5.77,0.6000000000000005,13,1
42b,10.0,4.23,9,3
43w,10.0,0,12,1
43b,10.0,0,8,1
44w,10.0,0,10,2
44b,10.0,0,6,2
45w,10.0,0,9,1
45b,10.0,0,6,0
1w,0.09,0,60,0
1b,0.12,0.03,60,0
2w,0.18,0,59,1
2b,0.36,0.18,59,1
3w,0.49,0,57,2
3b,0.44,0,58,1
4w,0.38,0.06,56,1
4b,0.57,0.18999999999999995,57,1
5w,0.3,0.26999999999999996,54,2
5b,0.4,0.10000000000000003,56,1
6w,0.37,0.030000000000000027,53,1
6b,0.37,0,55,1
7w,0.37,0,51,2
7b,0.45,0.08000000000000002,55,0
8w,0.35,0.10000000000000003,49,2
8b,0.61,0.26,55,0
9w,0.35,0.26,47,2
9b,0.51,0.16000000000000003,54,1
10w,0.41,0.10000000000000003,46,1
10b,0.34,0,53,1
11w,0.2,0.14,45,1
11b,0.85,0.6499999999999999,53,0
12w,0.46,0.38999999999999996,43,2
12b,1.25,0.79,51,2
13w,1.2,0.050000000000000044,41,2
